Date,Open,High,Low,Close,Volume
2011-07-13,12366,14221,10511,10512,1794904
2011-07-14,8945,9110,8945,8946,305454
2011-07-15,8079,8945,7997,8245,3111349
2011-07-18,8450,8656,8244,8327,1336565
2011-07-19,8450,9563,8409,9564,2021939
2011-07-20,9440,10305,9068,9152,1974909
2011-07-21,9274,9316,8236,8327,865296
2011-07-22,8450,8697,8203,8203,576824
2011-07-25,8286,8450,7650,7668,588893
2011-07-26,7799,8367,7757,7940,647064
2011-07-27,7923,8409,7816,8006,481052
2011-07-28,7881,8145,7692,7725,307781
2011-07-29,7782,7897,7320,7322,352139
2011-08-01,7419,7535,7271,7338,179386
2011-08-02,7337,7477,6867,7025,252020
2011-08-03,6702,6760,5976,6018,569021
2011-08-04,6075,6372,5771,5771,382045
2011-08-05,5317,6348,5078,5862,691420
2011-08-08,5605,6051,4987,5046,215570
2011-08-09,4451,4781,4294,4296,292361
2011-08-10,4575,4938,4484,4939,183122
2011-08-11,4847,5672,4847,5673,859139
2011-08-12,6001,6430,5712,5788,709506
2011-08-16,5952,6125,5688,5928,438079
2011-08-17,5976,6175,5845,6011,525000
2011-08-18,6166,6908,5985,6909,1313337
2011-08-19,6669,7353,6348,6637,948211
2011-08-22,6735,6942,5754,5854,420612
2011-08-23,5853,6042,5408,5813,386243
2011-08-24,5836,6241,5614,5689,651389
2011-08-25,5762,5968,5539,5541,248566
2011-08-26,5539,5894,5490,5870,238432
2011-08-29,5927,6068,5738,5813,338695
2011-08-30,6018,6678,5976,6678,307499
2011-08-31,7007,7675,6867,7264,2240801
2011-09-01,7412,7626,6719,6752,1282724
2011-09-02,6818,7345,6801,6951,731433
2011-09-05,6793,6801,6265,6291,446750
2011-09-06,6413,6760,6051,6357,441777
2011-09-07,6505,7304,6505,7305,613233
2011-09-08,7642,8161,6925,6967,1876123
2011-09-09,6966,7609,6892,7322,1026804
2011-09-14,7320,8286,7213,7421,1783892
2011-09-15,7708,8533,7584,8533,2020299
2011-09-16,8904,9645,8697,8987,2661797
2011-09-19,8863,9357,8491,9317,1720392
2011-09-20,9192,9852,8945,9523,2168802
