Date,Open,High,Low,Close,Volume
2019-09-20,20400,21333,16466,16533,3749206
2019-09-23,16466,17600,15733,17000,1106949
2019-09-24,16400,16466,14833,14833,755169
2019-09-25,14666,15066,13533,13733,553511
2019-09-26,13933,14499,13433,13533,437676
2019-09-27,13600,14066,13433,13633,286812
2019-09-30,13933,14000,12400,12400,427142
2019-10-01,12700,13966,12600,12800,763198
2019-10-02,12533,12800,12333,12567,197944
2019-10-04,12533,12900,11900,11900,428358
2019-10-07,12066,12433,11733,12133,590764
2019-10-08,12333,15766,12266,15767,4610471
2019-10-10,16266,17433,14933,16400,5748540
2019-10-11,16333,16700,14600,14600,1554291
2019-10-14,14833,14866,14133,14800,1040620
2019-10-15,14733,14800,13766,14000,1200381
2019-10-16,13866,14066,13233,13467,663046
2019-10-17,13433,13866,13066,13633,765860
2019-10-18,13433,13766,13300,13400,325908
2019-10-21,13166,13333,12566,12567,630548
2019-10-22,12566,13666,12566,13167,794697
2019-10-23,13166,13666,12933,13567,362104
2019-10-24,13633,13666,12800,13067,283149
2019-10-25,12766,13000,12533,12567,228699
2019-10-28,12566,13166,12400,12867,287476
2019-10-29,12900,12966,12433,12633,124592
2019-10-30,12766,13300,12633,12967,280818
2019-10-31,13100,13400,12800,12800,211425
2019-11-01,12866,13533,12700,13267,281407
2019-11-04,13266,13666,13233,13233,234451
2019-11-05,13300,14033,13166,13800,605756
2019-11-06,14199,14433,13933,14033,630063
2019-11-07,14100,14266,13633,13733,276186
2019-11-08,13733,13966,13233,13267,211570
2019-11-11,13333,13500,13000,13167,146716
2019-11-12,13066,13233,12933,12967,143181
2019-11-13,12966,13266,12866,12933,110671
2019-11-14,13000,13333,12933,13167,133978
2019-11-15,13166,13166,12633,12867,148389
2019-11-18,12900,13066,12800,12867,110310
2019-11-19,13033,13666,12933,13467,478351
2019-11-20,13466,13500,13000,13000,229259
2019-11-21,13000,13133,12500,12633,243478
2019-11-22,12666,12866,12366,12567,136581
2019-11-25,12733,13000,12600,12667,85239
2019-11-26,12933,14000,12833,14000,785149
2019-11-27,14000,14300,13700,14267,521813
2019-11-28,14100,14533,13600,14433,476307
2019-11-29,14433,14500,13833,13900,292638
2019-12-02,13800,13900,13333,13567,216844
2019-12-03,13500,13600,12600,13200,250297
2019-12-04,13200,14100,12833,13867,351408
2019-12-05,14133,14800,13700,14300,770132
2019-12-06,14800,15299,14433,15000,930255
2019-12-09,15133,15966,14800,15933,772735
2019-12-10,15933,16233,15366,15367,537568
2019-12-11,15266,15633,15000,15533,373189
2019-12-12,15466,15600,14766,15200,406601
2019-12-13,15300,15566,15000,15100,237268
2019-12-16,15133,15666,15100,15567,230881
2019-12-17,15600,16266,15600,15900,301950
2019-12-18,15933,17033,15900,16633,768534
2019-12-19,16166,16366,15766,15800,456644
2019-12-20,15866,16166,14933,15200,306867
2019-12-23,15333,15433,14800,14933,190215
2019-12-24,14999,15133,14033,14100,337237
2019-12-26,14133,14900,14133,14867,225605
2019-12-27,15133,15600,14933,15567,282048
2019-12-30,15566,16066,15300,15667,247055
2020-01-02,15700,15966,15366,15633,124852
2020-01-03,15866,15900,14999,15233,149536
2020-01-06,14833,15166,14566,14867,127813
2020-01-07,15066,15233,14866,14967,101806
2020-01-08,14800,14833,13733,13900,256476
2020-01-09,14433,14833,14100,14633,229745
