Date,Open,High,Low,Close,Volume
2015-11-19,14850,15600,12500,12500,468527
2015-11-20,12850,13650,12500,12600,212049
2015-11-23,12950,12950,12250,12250,79981
2015-11-24,12400,12600,12050,12050,60563
2015-11-25,12150,12500,12000,12200,131088
2015-11-26,12300,12750,12200,12500,102937
2015-11-27,12500,13500,12450,13250,115041
2015-11-30,13200,13300,12800,13000,54573
2015-12-01,13350,13650,13000,13000,69292
2015-12-02,13000,13450,12750,13250,50467
2015-12-03,13200,13450,12950,13200,45879
2015-12-04,13000,13850,12900,13800,60534
2015-12-07,13650,13950,13550,13700,21188
2015-12-08,13700,13800,13000,13100,63855
2015-12-09,13100,13800,13000,13200,40616
2015-12-10,13150,13500,12850,13150,45110
2015-12-11,13300,13400,12850,13200,17844
2015-12-14,12800,13400,12800,13250,18855
2015-12-15,13400,13500,12900,13250,36993
2015-12-16,13050,13400,12750,12950,62811
2015-12-17,13050,13900,12700,13500,78337
2015-12-18,13300,13950,13300,13950,30665
2015-12-21,13950,14350,13850,14300,32592
2015-12-22,14150,14250,13750,14000,27249
2015-12-23,14300,14300,13900,14150,8753
2015-12-24,14000,14350,13950,14250,36261
2015-12-28,14350,14650,14050,14250,45660
2015-12-29,13850,14050,13700,13800,15535
2015-12-30,13900,13900,13550,13650,6491
2016-01-04,13650,13650,13250,13250,31739
2016-01-05,13100,13400,12750,13300,21668
2016-01-06,13200,17000,13100,15500,818191
2016-01-07,15000,15250,14200,14600,153640
2016-01-08,14300,14500,13650,13900,126904
2016-01-11,14100,14400,13650,14050,73076
2016-01-12,14500,15300,14250,14400,143682
2016-01-13,14350,14650,14200,14350,64465
2016-01-14,14150,14250,13850,14100,69376
2016-01-15,14650,14700,13900,14000,53265
2016-01-18,13900,14200,13650,13950,27553
2016-01-19,14100,15250,14050,15250,101089
2016-01-20,15050,15200,14300,14800,68627
2016-01-21,14600,15100,14600,14700,41179
2016-01-22,14750,15150,14500,15150,36854
2016-01-25,15250,15300,14850,15050,30627
2016-01-26,15000,15050,14550,14650,36828
