Date,Open,High,Low,Close,Volume
2008-05-20,11982,12371,10192,10194,548229
2008-05-21,9336,10690,9087,9649,605389
2008-05-22,9849,11094,9211,11096,404253
2008-05-23,11359,12137,10519,10893,642590
2008-05-26,10986,11484,10332,10412,157893
2008-05-27,10550,10627,9943,9991,146932
2008-05-28,9959,10409,9647,9773,104431
2008-05-29,9866,10145,9616,9820,106066
2008-05-30,10005,10145,9647,9742,134660
2008-06-02,9664,9740,9056,9058,120979
2008-06-03,8962,9351,8838,9073,99279
2008-06-04,9180,9258,8915,9073,63328
2008-06-05,9056,9429,9009,9027,95929
2008-06-09,8714,8714,8138,8264,98188
2008-06-10,8247,8371,7406,7642,140600
2008-06-11,7780,7857,7422,7843,55091
2008-06-12,7780,7780,7453,7547,32027
2008-06-13,7625,7764,7328,7517,45417
2008-06-16,7702,7702,7266,7377,39899
2008-06-17,7374,7406,7033,7221,59254
2008-06-18,7126,7313,6970,7314,79360
2008-06-19,7328,7779,7313,7750,114510
2008-06-20,7873,8153,7499,7750,87680
2008-06-23,7779,7779,7515,7673,86297
2008-06-24,7671,7842,7188,7625,58219
2008-06-25,7640,7640,7157,7470,32097
2008-06-26,7484,7561,7282,7377,15946
2008-06-27,7001,7142,6784,6863,54979
2008-06-30,6846,6846,6550,6614,34836
2008-07-01,6410,6628,6099,6241,55498
2008-07-02,6301,6815,6177,6272,97844
2008-07-03,6146,6223,5600,5913,54640
2008-07-04,5928,6146,5881,6023,49405
2008-07-07,6021,6208,5757,6116,41691
2008-07-08,6130,6208,5445,5913,41675
2008-07-09,5990,6068,5305,5307,57634
2008-07-10,5103,5539,5103,5540,54941
2008-07-11,5508,5726,5368,5478,40688
2008-07-14,5477,6192,5368,5851,147283
2008-07-15,5819,5897,5414,5478,35747
2008-07-16,5539,5757,5492,5695,41388
2008-07-17,5881,5881,5678,5743,37503
2008-07-18,5881,5881,5570,5727,59706
2008-07-21,5710,5850,5710,5727,30775
2008-07-22,5726,5741,5368,5447,55898
2008-07-23,5757,6083,5710,5790,373286
2008-07-24,5788,6099,5663,5821,191325
2008-07-25,5678,5710,5522,5525,97262
2008-07-28,5585,5600,5336,5540,58942
2008-07-29,5445,5647,5382,5571,45001
2008-07-30,5647,5990,5647,5976,164657
2008-07-31,6037,6052,5835,5898,95943
2008-08-01,5850,5974,5835,5883,91095
2008-08-04,5928,5960,5461,5603,56049
2008-08-05,5522,5990,5508,5618,163773
2008-08-06,5741,5819,5461,5509,67407
2008-08-07,5522,5570,5258,5369,63256
2008-08-08,5289,5352,5227,5245,56024
2008-08-11,5321,5477,5165,5213,74857
2008-08-12,5227,5990,4917,5587,433955
2008-08-13,5399,5773,5134,5587,240212
2008-08-14,5616,5835,5522,5603,96691
2008-08-18,5647,5695,5274,5276,76622
2008-08-19,5181,5289,5025,5261,57724
2008-08-20,5258,5336,5087,5213,36308
2008-08-21,5290,5290,4917,4995,52022
2008-08-22,4948,5041,4589,4825,71732
2008-08-25,4823,4885,4573,4575,42224
2008-08-26,4371,4449,4278,4389,53906
2008-08-27,4434,4434,4076,4374,51303
2008-08-28,4294,4356,4169,4264,23731
2008-08-29,4262,4403,4107,4139,26524
2008-09-01,4107,4169,3531,3533,90831
2008-09-02,3531,3547,3002,3003,159554
2008-09-03,2893,3080,2769,2957,201745
2008-09-04,2940,3298,2928,3221,86597
2008-09-05,3046,3313,3039,3143,40009
2008-09-08,3251,3562,3204,3455,116309
2008-09-09,3438,3608,3267,3424,69775
2008-09-10,3375,3562,3298,3564,47585
2008-09-11,3562,4092,3562,4077,90009
2008-09-12,3983,4495,3966,4109,195668
2008-09-16,3547,3796,3500,3501,63540
2008-09-17,3640,3921,3608,3859,61530
2008-09-18,3687,4200,3593,3735,188072
2008-09-19,3952,4014,3764,3907,72249
2008-09-22,4014,4076,3796,3859,78207
2008-09-23,3905,3966,3733,3907,50971
2008-09-24,3858,3936,3812,3875,45087
2008-09-25,3858,4045,3702,4046,100925
2008-09-26,4169,4652,3733,3844,392716
2008-09-29,3905,4014,3531,3611,58619
2008-09-30,3173,3796,3127,3797,142003
2008-10-01,3718,3796,3453,3471,109296
2008-10-02,3468,3593,3251,3252,118232
2008-10-06,3158,3375,2987,2994,124494
2008-10-07,2850,3080,2800,2935,53339
2008-10-08,2769,2956,2494,2497,106710
2008-10-09,2494,2610,2364,2553,65875
2008-10-10,2336,2610,2174,2491,94802
2008-10-13,2522,2706,2522,2630,29172
2008-10-14,2800,2874,2728,2857,59082
2008-10-15,2856,2856,2674,2755,19300
2008-10-16,2519,2582,2342,2343,41101
2008-10-17,2457,2457,2056,2151,46101
2008-10-20,2149,2268,2022,2241,39012
2008-10-21,2286,2451,2249,2260,47652
2008-10-22,2209,2298,2055,2131,26827
2008-10-23,2025,2065,1822,1907,31867
2008-10-24,1900,1984,1623,1625,59914
2008-10-27,1436,1616,1385,1403,79364
2008-10-28,1321,1505,1278,1465,97962
2008-10-29,1551,1613,1312,1399,69323
2008-10-30,1498,1604,1495,1606,43922
2008-10-31,1594,1788,1594,1737,61976
2008-11-03,1850,1969,1804,1961,42694
2008-11-04,2069,2069,1928,1989,59444
2008-11-05,2040,2236,2000,2069,69125
2008-11-06,2022,2022,1773,1774,23577
2008-11-07,1654,1893,1564,1849,20891
2008-11-10,1925,1928,1834,1899,46662
2008-11-11,1919,1919,1797,1831,21347
2008-11-12,1804,1910,1741,1911,22797
2008-11-13,1807,1866,1744,1824,20408
2008-11-14,1928,1928,1834,1899,49815
2008-11-17,1841,1916,1813,1911,30202
2008-11-18,1907,1941,1853,1911,17491
2008-11-19,1934,1950,1788,1836,40294
2008-11-20,1756,1756,1657,1693,45506
2008-11-21,1648,1784,1604,1774,22049
2008-11-24,1773,1804,1679,1697,42202
2008-11-25,1744,1778,1663,1665,47937
2008-11-26,1685,1913,1685,1914,111334
2008-11-27,2146,2146,1822,1877,199728
2008-11-28,1890,1916,1850,1877,48505
2008-12-01,1872,1928,1850,1852,41344
2008-12-02,1741,1850,1710,1845,33094
2008-12-03,1844,1884,1804,1808,26114
2008-12-04,1897,2072,1756,1799,232595
2008-12-05,1804,1818,1735,1787,24120
2008-12-08,1804,1850,1756,1759,77057
2008-12-09,1804,1822,1732,1756,63251
2008-12-10,1754,2015,1741,2017,344993
2008-12-11,2015,2149,1925,1977,353381
2008-12-12,1975,2239,1950,2069,377702
2008-12-15,2174,2376,2152,2379,184622
2008-12-16,2482,2526,2364,2443,314876
2008-12-17,2488,2488,2240,2272,174316
2008-12-18,2286,2432,2264,2315,97098
2008-12-19,2308,2352,2186,2203,103681
2008-12-22,2186,2327,2180,2231,58272
2008-12-23,2240,2240,2114,2151,44511
2008-12-24,2100,2146,2050,2061,32638
2008-12-26,2065,2124,2025,2069,52060
