Date,Open,High,Low,Close,Volume
1999-01-06,13175,13175,11519,12159,42660.0
1999-01-07,11505,12293,11505,11758,30980.0
1999-01-08,11491,12426,11223,12025,65050.0
1999-01-11,12292,13815,12292,13815,84120.0
1999-01-12,15712,15712,13895,14563,103620.0
1999-01-13,14699,16730,14298,16730,111040.0
1999-01-14,16033,18171,14243,15231,161150.0
1999-01-15,16061,17505,15794,17370,124060.0
1999-01-18,18040,19964,18040,19964,100030.0
1999-01-19,22155,22155,17104,17104,89100.0
1999-01-20,17932,18172,15233,16034,55550.0
1999-01-21,15179,16301,14698,14964,52120.0
1999-01-22,14966,16569,13389,16034,71530.0
1999-01-25,16034,16569,13656,13655,36930.0
1999-01-26,13897,15234,13897,14164,45580.0
1999-01-27,14164,15100,13897,15099,27900.0
1999-01-28,14966,16169,14164,15767,35270.0
1999-01-29,15794,16462,14992,16034,36560.0
1999-02-01,16034,17103,16034,16301,39540.0
1999-02-02,16036,16543,15501,15501,37580.0
1999-02-03,15580,16702,15580,15632,33440.0
1999-02-04,15766,16167,14724,14964,17530.0
1999-02-05,14992,15500,14992,15473,16810.0
1999-02-08,16009,16009,14833,14832,12020.0
1999-02-09,14457,14457,12613,12693,31830.0
1999-02-10,12027,13898,12027,13897,30510.0
1999-02-11,12013,14699,12013,14431,24410.0
1999-02-12,13896,15232,13896,14296,13440.0
1999-02-18,15501,16436,15501,16435,48930.0
1999-02-19,17345,18708,16436,17104,197020.0
1999-02-22,17131,17131,15233,15767,34440.0
1999-02-23,15501,15768,13630,14164,43580.0
1999-02-24,13896,15473,13896,14698,48380.0
1999-02-25,14833,15234,14031,14164,31080.0
1999-02-26,13896,15233,13896,14698,20670.0
1999-03-02,14965,15766,14965,15525,40930.0
1999-03-03,15553,16007,14430,14964,18480.0
1999-03-04,15634,15634,14832,15099,13780.0
1999-03-05,15233,16836,15233,15553,44250.0
1999-03-08,15554,16703,15554,16435,70980.0
1999-03-09,17370,17370,16087,16193,43040.0
1999-03-10,16301,16301,15633,16006,27670.0
1999-03-11,16970,18387,16970,18039,166760.0
1999-03-12,18573,20043,18038,18198,186200.0
1999-03-15,18305,18973,17370,17904,53610.0
1999-03-16,17638,18707,17370,17637,53270.0
1999-03-17,18307,18307,16597,16650,51590.0
1999-03-18,17104,17906,16837,17104,62230.0
1999-03-19,16970,16970,16301,16782,34410.0
1999-03-22,16784,17345,16303,16356,43200.0
1999-03-23,16114,16515,16034,16301,35120.0
1999-03-24,16301,17289,16167,16567,55130.0
1999-03-25,16703,17905,16302,17370,72460.0
1999-03-26,17372,17372,16624,16837,35940.0
1999-03-29,16302,17104,16169,17104,20250.0
1999-03-30,17102,18171,16568,17797,76620.0
1999-03-31,18173,18440,17184,17183,37810.0
1999-04-01,17639,17639,16329,17104,34300.0
1999-04-02,17237,17371,16569,17076,111450.0
1999-04-06,17076,17237,16702,16969,31070.0
1999-04-07,16971,17639,16971,17104,76200.0
1999-04-08,17103,17130,16569,17076,34110.0
1999-04-09,16755,17236,16434,16567,42600.0
1999-04-12,16328,16702,16114,16675,42890.0
1999-04-13,16301,16835,16301,16380,25210.0
1999-04-14,16408,17076,16114,16595,59230.0
1999-04-15,16755,16862,16327,16567,34400.0
1999-04-16,16703,16703,16034,16034,30060.0
1999-04-19,16036,16036,15260,15501,36460.0
1999-04-20,15501,16035,15501,15874,46870.0
1999-04-21,15767,16568,15767,16301,54190.0
1999-04-22,16569,16569,15500,15660,22920.0
1999-04-23,15501,16837,15287,16435,70330.0
1999-04-26,15553,16836,15553,16408,34540.0
1999-04-27,16568,16675,15900,16567,58790.0
1999-04-28,16274,17771,16274,17236,93190.0
1999-04-29,18039,18974,17505,18039,107010.0
1999-04-30,18039,18173,17104,17370,53980.0
1999-05-03,17771,19241,17530,18946,76520.0
1999-05-04,19107,20043,18279,19240,98880.0
1999-05-06,19909,21111,19508,20843,95360.0
1999-05-07,20044,21781,19536,21006,94530.0
1999-05-10,21111,23649,20576,23195,114620.0
1999-05-11,23385,23385,19723,21380,73500.0
1999-05-12,21381,21381,18975,19777,44240.0
1999-05-13,18974,21112,18974,19909,43300.0
1999-05-14,20042,20576,18706,19507,39010.0
1999-05-17,19775,19775,17904,17904,32560.0
1999-05-18,17131,18441,16864,18440,16310.0
1999-05-19,17156,18706,17156,18171,12930.0
1999-05-20,19241,19241,16568,17904,16360.0
1999-05-21,17371,17905,17023,17370,11850.0
1999-05-24,17397,17638,16863,16969,7970.0
1999-05-25,16702,17611,16301,16595,10650.0
1999-05-26,18788,18788,17104,17852,8970.0
1999-05-27,17906,18441,17772,18440,21250.0
1999-05-28,18679,18679,17663,18171,12290.0
1999-05-31,18708,19509,17772,19001,33390.0
1999-06-01,19268,19615,18974,19348,17170.0
1999-06-02,20042,21913,19641,20843,65850.0
1999-06-03,21380,21407,19242,20819,46490.0
1999-06-04,20819,20819,18707,18707,22020.0
1999-06-07,19241,20043,17985,18305,28010.0
1999-06-08,18038,19240,18038,18839,11770.0
1999-06-09,18973,19240,18171,18171,7130.0
1999-06-10,18840,18840,18172,18572,11500.0
1999-06-11,18652,18652,17770,18171,9430.0
1999-06-14,18975,19509,18306,18707,30740.0
1999-06-15,19242,19483,17398,18440,24810.0
1999-06-16,18975,18975,17906,18440,26360.0
1999-06-17,18199,18440,17424,18039,8430.0
1999-06-18,17905,20738,17905,18974,57350.0
1999-06-21,19507,19507,18171,18171,22630.0
1999-06-22,18173,18200,17104,17772,20900.0
1999-06-23,17396,18438,17396,18171,23310.0
1999-06-24,17396,18171,17396,18171,11330.0
1999-06-25,18171,19240,17663,19213,37560.0
1999-06-28,18198,18385,17904,18358,16550.0
1999-06-29,17933,18574,17719,17772,24820.0
1999-06-30,17772,17852,16837,17183,49880.0
1999-07-01,17370,17878,17370,17637,38080.0
1999-07-02,17772,18413,17772,18039,27330.0
1999-07-05,18974,19909,18573,19240,57070.0
1999-07-06,20578,21887,19642,21539,195910.0
1999-07-07,20846,21915,20044,20043,93930.0
1999-07-08,19803,21085,19803,20871,76390.0
1999-07-09,20978,21913,20310,21138,80460.0
1999-07-12,22209,24293,21808,22716,121870.0
1999-07-13,22449,23250,21380,21646,68050.0
1999-07-14,22715,22982,20577,20843,59630.0
1999-07-15,20846,21380,20097,20338,53080.0
1999-07-16,20337,21646,20310,20577,26030.0
1999-07-19,20578,21594,20578,21272,42060.0
1999-07-20,21915,21915,20846,20898,44070.0
1999-07-21,21247,21380,20311,20819,24740.0
1999-07-22,20577,20978,19776,20577,44720.0
1999-07-23,20310,21779,20310,20843,56000.0
1999-07-26,21754,21754,20044,20043,32450.0
1999-07-27,20845,20845,17665,20310,16080.0
1999-07-28,19803,22555,19509,21352,118620.0
1999-07-29,20846,21915,20846,21380,40210.0
1999-07-30,21353,21620,19749,20310,52720.0
1999-08-02,20844,22448,20069,21512,294030.0
1999-08-03,22180,24718,21645,24050,330350.0
1999-08-04,24052,26458,22850,22983,332800.0
1999-08-05,22929,22983,20498,20497,105200.0
1999-08-06,20178,21247,19643,19777,71570.0
1999-08-09,19802,20550,19641,19988,39930.0
1999-08-10,18788,19830,18307,18440,45760.0
1999-08-11,18198,18893,17771,17904,28660.0
1999-08-12,17906,18948,17906,18333,21880.0
1999-08-13,17906,18547,16570,17104,32700.0
1999-08-16,16701,18171,16595,18171,21780.0
1999-08-17,17691,18439,15553,15553,18410.0
1999-08-18,15819,15819,14163,15231,26460.0
1999-08-19,15232,15953,15232,15525,26960.0
1999-08-20,15767,16835,15767,15819,10510.0
1999-08-23,16060,16701,16006,16273,28850.0
1999-08-24,16356,16837,16169,16169,18110.0
1999-08-25,16167,16808,16167,16273,30140.0
1999-08-26,16327,16514,16087,16086,20720.0
1999-08-27,15767,16569,15153,16034,32260.0
1999-08-30,16300,16434,15151,15231,27390.0
1999-08-31,14751,15499,14484,14483,16510.0
1999-09-01,14779,16036,14699,15501,39210.0
1999-09-02,14700,15448,14700,14753,11520.0
1999-09-03,14966,15206,13362,13950,32810.0
1999-09-06,13764,14432,13443,13790,14220.0
1999-09-07,14565,14565,13630,14164,27950.0
1999-09-08,13976,16274,13895,16273,81820.0
1999-09-09,16755,17370,15098,15712,252550.0
1999-09-10,16515,16515,15286,16301,37190.0
1999-09-13,15795,16115,15394,15393,19540.0
1999-09-14,15205,15606,14697,15044,22360.0
1999-09-15,15447,15447,14699,14832,22350.0
1999-09-16,14432,15207,14432,14940,13150.0
1999-09-17,15099,16034,15019,15366,34050.0
1999-09-20,16061,16836,15767,15847,56100.0
1999-09-21,15900,15980,15259,15632,47630.0
1999-09-22,15768,16543,15634,15874,59890.0
1999-09-27,15366,16275,14698,14698,25900.0
1999-09-28,14431,15393,14431,14698,17200.0
1999-09-29,15233,15233,14431,14511,17480.0
1999-09-30,14190,15205,14190,14296,35890.0
1999-10-01,14056,14404,12961,13735,16770.0
1999-10-04,12908,14325,12908,13309,15330.0
1999-10-05,12936,13577,12081,12093,9550.0
1999-10-06,11637,12746,11223,12291,14980.0
1999-10-07,12320,13095,12293,12987,14930.0
1999-10-08,12560,13335,12560,12987,20480.0
1999-10-11,13095,13629,12934,12987,12480.0
1999-10-12,13015,13577,12909,13122,16720.0
1999-10-13,13362,13549,12828,13094,13200.0
1999-10-14,13362,13362,12827,12987,18270.0
1999-10-15,13016,13230,12842,12855,17130.0
1999-10-18,12828,12828,11759,12080,16030.0
1999-10-19,12120,12294,11906,12080,9550.0
1999-10-20,12106,13870,12106,13870,88410.0
1999-10-21,14029,14670,12759,12759,113680.0
1999-10-22,12761,14164,12560,13094,79180.0
1999-10-25,14432,14432,12160,12159,31440.0
1999-10-26,12161,12989,11947,12187,12200.0
1999-10-27,11811,12279,11811,12212,15330.0
1999-10-28,11839,12266,11759,12239,19450.0
1999-10-29,12547,12561,12160,12346,22290.0
1999-11-01,12359,12813,12359,12665,28300.0
1999-11-02,12507,12694,12240,12426,27760.0
1999-11-03,12294,12561,12214,12561,26840.0
1999-11-04,12360,13362,12360,12987,49670.0
1999-11-05,13362,13602,12867,13361,61400.0
1999-11-08,13628,13789,12960,12960,42710.0
1999-11-09,12868,13282,12841,13281,25130.0
1999-11-10,13256,13523,12988,13015,24810.0
1999-11-11,13016,13363,12829,13229,33290.0
1999-11-12,12962,13764,12748,13028,29290.0
1999-11-15,12721,13229,12561,12828,34090.0
1999-11-16,12560,14137,12560,13361,62700.0
1999-11-17,13361,13548,13147,13254,53250.0
1999-11-18,13363,14379,12828,12935,24170.0
1999-11-19,13575,13628,12960,13254,42080.0
1999-11-22,13363,14406,13363,13897,34670.0
1999-11-23,13897,14325,13096,13122,17460.0
1999-11-24,13361,14671,13361,14296,104640.0
1999-11-25,14966,16436,14164,16435,122770.0
1999-11-26,15900,17317,15366,15632,57380.0
1999-11-29,15633,17958,13362,17343,68920.0
1999-11-30,17612,19937,17612,19936,196920.0
1999-12-01,20819,22904,20044,22903,164130.0
1999-12-02,22901,23302,19775,21778,110440.0
1999-12-03,21380,24587,21113,22983,125140.0
1999-12-06,22714,24585,22714,24344,85400.0
1999-12-07,24319,24853,20871,20871,39790.0
1999-12-08,20871,21111,18706,19240,91330.0
1999-12-09,19242,21086,18467,20043,47160.0
1999-12-10,20311,21353,18226,20310,35380.0
1999-12-13,20311,23357,20311,23357,98860.0
1999-12-14,23785,26858,23785,26857,93130.0
1999-12-15,29397,30867,26724,30465,76750.0
1999-12-16,30466,33940,28328,30465,91390.0
1999-12-17,29929,29929,25921,25947,76510.0
1999-12-20,24453,28862,22983,26189,55770.0
1999-12-21,24587,28729,24052,27259,26040.0
1999-12-22,27258,31266,27258,31265,95860.0
1999-12-23,31268,33406,29397,31802,49700.0
1999-12-24,28594,31800,27792,28326,42960.0
1999-12-27,27258,28595,24185,24185,43290.0
1999-12-28,20711,25388,20577,20577,98650.0
2000-01-04,19027,22421,18706,22180,144160.0
2000-01-05,21407,23492,19804,20338,35970.0
2000-01-06,21381,21381,19109,19108,23570.0
2000-01-07,18174,21060,18174,20445,134260.0
2000-01-10,20444,22716,20444,20791,24050.0
2000-01-11,21380,21380,18974,19081,19190.0
2000-01-12,19081,20577,18733,19053,8600.0
2000-01-13,19054,20310,19054,19240,10950.0
2000-01-14,19374,19508,18840,19240,9220.0
2000-01-17,18787,21326,18787,20310,116670.0
2000-01-18,20846,20846,19109,19108,14570.0
2000-01-19,18788,19456,16249,16248,26900.0
2000-01-20,14163,15606,14163,14777,66970.0
2000-01-21,14992,15900,14430,15632,37850.0
2000-01-24,15019,15633,14698,14698,15200.0
2000-01-25,14486,14833,13898,13897,15000.0
2000-01-26,13976,14430,13415,13628,11780.0
2000-01-27,14136,15178,13628,14563,21900.0
2000-01-28,14564,16702,14564,16567,20190.0
2000-01-31,15500,16355,15099,16301,16040.0
2000-02-01,16302,16569,15313,15767,9420.0
2000-02-02,16568,16568,15259,16301,10660.0
2000-02-03,16515,17370,15766,16193,14370.0
2000-02-07,16301,16782,16061,16782,7200.0
2000-02-08,16782,16782,15526,16567,6320.0
2000-02-09,16837,17372,16036,16837,20020.0
2000-02-10,17104,17371,15581,15580,7570.0
2000-02-11,15473,15579,14965,14964,2140.0
2000-02-14,14379,15609,12856,12855,4670.0
2000-02-15,12560,14778,12560,14777,9500.0
2000-02-16,15207,16303,13764,13897,5480.0
2000-02-17,13897,14432,13870,13870,6560.0
2000-02-18,12025,14965,12025,13922,5270.0
2000-02-21,13496,15233,13095,13094,6400.0
2000-02-22,13308,13789,13308,13361,6850.0
2000-02-23,13630,14966,13630,14431,18400.0
2000-02-24,14565,14565,13496,13870,10210.0
2000-02-25,13896,14136,13361,13441,9910.0
2000-02-28,15179,15446,15099,15446,26010.0
2000-02-29,16195,17745,14725,17744,73550.0
2000-03-02,20043,20390,17638,20390,138960.0
2000-03-03,21379,23437,21379,23437,45880.0
2000-03-06,24185,26858,22101,23250,95140.0
2000-03-07,23251,26725,20899,24319,97280.0
2000-03-08,24320,26993,22984,25656,26920.0
2000-03-09,24319,29130,24319,28194,46460.0
2000-03-10,28195,32337,28195,30867,71090.0
2000-03-13,32069,35410,32069,35410,221740.0
2000-03-14,36612,38750,30199,30465,35490.0
2000-03-15,29396,29663,25975,25975,20620.0
2000-03-16,25923,28061,25923,27526,16760.0
2000-03-17,27526,28327,26189,27792,14650.0
2000-03-20,31934,31934,31934,31934,4430.0
2000-03-21,36612,36612,36612,36611,2280.0
2000-03-22,42089,42089,42089,42089,2120.0
2000-03-23,48370,48370,45163,48370,32030.0
2000-03-24,55586,55586,50776,55585,73760.0
2000-03-27,61466,61466,47302,48103,93730.0
2000-03-28,48103,54517,43560,52646,43890.0
2000-03-29,53447,56120,47301,49973,30400.0
2000-03-30,50240,52111,43559,44360,15740.0
2000-03-31,40087,49707,40087,44897,17230.0
2000-04-03,49973,51577,45430,51576,16980.0
2000-04-04,53447,59193,53447,56119,57370.0
2000-04-06,54784,59995,51844,52646,22130.0
2000-04-07,52646,58792,46767,53581,43530.0
2000-04-10,60932,61600,55587,61599,44470.0
2000-04-11,69483,69483,62802,67745,82730.0
2000-04-12,63871,69216,62267,65474,25640.0
2000-04-14,67478,67879,61733,64137,12810.0
2000-04-17,54516,62667,54516,54516,14160.0
2000-04-18,58526,60129,54517,55319,9080.0
2000-04-19,56119,59326,52111,56119,13010.0
2000-04-20,58526,64539,56121,57991,19980.0
2000-04-21,59328,64673,58794,63871,10300.0
2000-04-24,73089,73089,65473,66274,15890.0
2000-04-25,56388,67345,56388,66810,8490.0
2000-04-26,69483,70819,64138,66810,14080.0
2000-04-27,66810,66810,61465,61465,3550.0
2000-04-28,61732,62266,57456,57455,4690.0
2000-05-02,57456,62801,57189,58792,7520.0
2000-05-03,58793,61465,57724,61465,9250.0
2000-05-04,62000,65474,59862,65474,12010.0
2000-05-08,72423,73492,67345,71353,19170.0
2000-05-09,69484,69484,61466,63604,27190.0
2000-05-10,54115,65473,54115,59058,54820.0
2000-05-12,62001,64940,57725,62268,31810.0
2000-05-15,62268,62268,54251,55720,15590.0
2000-05-16,56655,61465,49707,61465,6920.0
2000-05-17,56388,60129,55586,55585,8990.0
2000-05-18,53582,55452,47301,52646,4340.0
2000-05-19,51846,54919,47436,53449,12360.0
2000-05-22,53447,53447,48236,52912,3440.0
2000-05-23,48372,51979,48372,49841,3770.0
2000-05-24,45833,48372,43294,43962,10370.0
2000-05-25,46768,49441,46501,47569,4540.0
2000-05-26,49439,49439,43292,44094,2010.0
2000-05-29,40620,50642,40353,50641,8680.0
2000-05-30,58126,58126,49841,50776,6200.0
2000-05-31,53447,55986,52512,52912,3240.0
2000-06-01,55987,55987,50776,52379,1670.0
2000-06-02,53180,55050,52512,53179,3540.0
2000-06-05,55051,61064,55051,61063,15550.0
2000-06-07,70152,70152,63070,70151,18400.0
2000-06-08,80173,80574,70552,80573,33570.0
2000-06-09,90861,90861,68547,77766,20920.0
2000-06-12,74828,84181,69483,78569,26190.0
2000-06-13,69483,78836,69483,72956,14620.0
2000-06-14,69483,78836,69483,70017,14300.0
2000-06-15,68146,73491,61465,61465,8990.0
2000-06-16,58792,65340,54784,65339,17530.0
2000-06-19,58793,66811,58793,63202,9900.0
2000-06-20,66676,66676,61465,61465,3030.0
2000-06-21,59060,65474,58926,61465,8540.0
2000-06-22,62802,64940,61466,62268,14310.0
2000-06-23,62268,62669,60264,61599,2290.0
2000-06-26,60129,61733,59327,59861,10960.0
2000-06-27,61733,61733,59194,59861,5690.0
2000-06-28,60396,61465,58793,59193,20810.0
2000-06-29,61332,61332,59194,59595,7440.0
2000-06-30,57724,60530,56655,60530,4850.0
2000-07-03,59329,60665,58393,58393,9970.0
2000-07-04,56255,65475,56255,62268,11720.0
2000-07-05,58258,61732,55184,55184,6800.0
2000-07-06,58660,58660,53448,55319,4460.0
2000-07-07,54249,56654,53447,55852,10420.0
2000-07-10,55853,61198,54918,61198,15740.0
2000-07-11,61199,61199,56923,57725,14430.0
2000-07-12,58259,60263,58259,58258,2050.0
2000-07-13,58792,58792,56120,56520,2070.0
2000-07-14,48237,55854,48104,53715,9710.0
2000-07-18,52379,53448,52379,52379,1570.0
2000-07-19,50776,51311,48772,49439,1940.0
2000-07-20,46767,48103,46233,47435,2060.0
2000-07-21,44896,50775,44896,49973,2180.0
2000-07-24,47568,50241,47034,47033,1670.0
2000-07-25,47035,47035,45432,46901,800.0
2000-07-26,43160,48104,43160,47836,2700.0
2000-07-27,48104,50776,45431,45832,3580.0
2000-07-28,46901,46901,43159,43159,880.0
2000-07-31,43292,49572,43292,44360,2980.0
2000-08-01,44629,45431,42759,45163,1620.0
2000-08-02,45431,46767,44362,44495,1360.0
2000-08-03,43294,44096,43294,43962,1590.0
2000-08-04,45432,45432,40354,40354,3670.0
2000-08-07,41690,43961,40888,40887,3010.0
2000-08-08,40889,44096,40889,41690,1180.0
2000-08-09,42357,44094,41421,41421,2070.0
2000-08-10,44096,47570,42760,47569,15430.0
2000-08-11,54651,54651,54517,54650,9390.0
2000-08-14,62801,62801,56120,62801,56730.0
2000-08-16,56655,61466,54785,55319,30980.0
2000-08-17,56120,62800,54516,57455,31210.0
2000-08-18,53715,58259,53448,53982,15340.0
2000-08-21,51578,53182,49708,52112,7780.0
2000-08-22,52111,54249,49706,49973,3960.0
2000-08-23,49974,54650,49974,51309,10140.0
2000-08-24,51578,51845,47569,48103,7010.0
2000-08-25,48104,49974,47970,49439,5470.0
2000-08-28,47033,49438,47033,47300,4160.0
2000-08-29,47303,49441,47303,48906,1320.0
2000-08-30,48102,48637,47167,48636,1620.0
2000-08-31,47300,47568,45964,47300,1220.0
2000-09-01,46099,48103,45965,46767,1950.0
2000-09-04,45832,47302,45832,47168,1580.0
2000-09-05,45964,46632,45830,45964,1870.0
2000-09-06,46767,48103,46099,46098,1550.0
2000-09-07,45432,45966,44630,44897,910.0
2000-09-08,43026,46768,43026,46500,2100.0
2000-09-14,45965,45965,45431,45430,100.0
2000-09-15,45966,46500,44362,46500,1250.0
2000-09-18,46500,46500,39551,39551,2240.0
2000-09-19,37413,45430,35141,42757,4480.0
2000-09-20,41956,43292,40486,41421,3820.0
2000-09-21,42891,43692,39818,40084,2010.0
2000-09-22,37681,38750,34074,34073,4220.0
2000-09-25,33939,39150,33939,39149,10690.0
2000-09-26,37414,41422,37414,37948,3360.0
2000-09-27,40087,42759,38483,41289,30360.0
2000-09-28,41423,42625,38750,41289,4380.0
2000-09-29,41021,41021,39016,39818,4460.0
2000-10-02,38217,39954,38217,38751,1890.0
2000-10-04,39820,39820,37682,38751,2730.0
2000-10-05,38750,40354,35811,36345,36750.0
2000-10-06,37415,41691,35544,41690,252780.0
2000-10-09,47837,47837,47837,47836,5830.0
2000-10-10,54918,54918,54918,54917,169890.0
2000-10-11,47301,51577,46767,46767,222870.0
2000-10-12,43027,47837,39820,42625,190430.0
2000-10-13,41422,47302,41422,42224,187390.0
2000-10-16,43025,45431,41956,45430,101310.0
2000-10-17,45431,52246,44228,48103,254500.0
2000-10-18,45965,48370,41422,42490,102810.0
2000-10-19,42491,46098,41956,44094,77810.0
2000-10-20,42891,45163,42758,42757,44220.0
2000-10-23,43292,44628,41421,41421,40190.0
2000-10-24,41957,42492,39017,39952,39360.0
2000-10-25,40353,45164,38750,41556,73380.0
2000-10-26,40755,42492,37548,39017,36440.0
2000-10-27,36880,40488,36880,37681,29130.0
2000-10-30,38750,39285,36345,36345,19130.0
2000-10-31,33939,38482,30999,36878,58670.0
2000-11-01,36078,40087,36078,39017,38070.0
2000-11-02,37682,39820,36078,36078,31100.0
2000-11-03,36613,38083,35544,36078,47340.0
2000-11-06,36076,38214,36076,37145,40910.0
2000-11-07,37147,42626,36613,42625,73770.0
2000-11-08,44497,48906,42760,48906,145170.0
2000-11-09,49171,56119,46098,56119,162300.0
2000-11-10,61465,64538,49973,58792,130910.0
2000-11-13,55320,57458,53717,54785,36140.0
2000-11-14,53449,60798,52380,59595,88900.0
2000-11-15,59996,67078,59061,63871,66630.0
2000-11-16,64404,66542,58792,58792,50250.0
2000-11-17,56923,63872,53984,56388,86390.0
2000-11-20,51042,62800,51042,57455,93670.0
2000-11-21,57458,62268,56389,56388,17110.0
2000-11-22,55052,60130,55052,55052,66030.0
2000-11-23,47035,54251,46902,46901,115450.0
2000-11-24,48370,50508,45564,46767,14200.0
2000-11-27,39819,49440,39819,45832,210520.0
2000-11-28,48102,51576,42757,45964,66960.0
2000-11-29,49440,49440,43561,43560,58720.0
2000-11-30,40353,43827,38215,40486,71580.0
2000-12-01,38885,41423,37816,41022,49680.0
2000-12-04,44093,44093,39550,40084,29330.0
2000-12-05,40887,43693,40219,41421,76140.0
2000-12-06,42758,43559,41555,42089,64480.0
2000-12-07,43292,43292,40219,40486,24630.0
2000-12-08,40486,41555,39551,40486,36020.0
2000-12-11,40487,42491,40487,41822,65980.0
2000-12-12,42224,43159,40621,40887,69000.0
2000-12-13,40887,41689,40085,40486,36000.0
2000-12-14,40621,41423,39285,39686,27510.0
2000-12-15,38750,40487,37948,38883,39650.0
2000-12-18,37813,38882,37546,37813,25280.0
2000-12-19,38348,43426,38348,43425,116070.0
2000-12-20,44896,45965,37012,37546,184500.0
2000-12-21,35008,36345,32871,34340,60150.0
2000-12-22,35276,37414,31267,33405,61680.0
2000-12-26,33405,34741,28461,28461,109400.0
2001-01-02,24474,30799,24474,29423,145880.0
2001-01-03,29974,31623,27911,30523,163410.0
2001-01-04,34373,34373,29836,30523,116110.0
2001-01-05,31074,32998,30249,30936,134890.0
2001-01-08,30386,32586,30386,31760,103150.0
2001-01-09,32998,35198,32036,34098,170250.0
2001-01-10,34098,36986,30524,32173,140100.0
2001-01-11,33273,33548,32036,32998,50730.0
2001-01-12,33411,34373,32448,32723,85430.0
2001-01-15,33136,34373,32448,33273,99290.0
2001-01-16,33823,34373,32173,32860,53810.0
2001-01-17,32861,36848,31898,34373,123630.0
2001-01-18,35336,36573,33548,34098,93240.0
2001-01-19,34373,34923,32723,32723,59670.0
2001-01-22,32036,34098,32036,33135,51960.0
2001-01-26,34373,34373,32448,32860,37010.0
2001-01-29,33273,37673,32448,37673,195930.0
2001-01-30,38636,38773,34923,35748,194660.0
