Date,Open,High,Low,Close,Volume
2005-12-26,42600,48950,42600,48950,581110
2005-12-27,56200,56200,54000,56200,868235
2005-12-28,57700,63700,57700,59800,1013160
2005-12-29,62000,62000,56100,60000,351072
2006-01-02,59500,69000,59000,69000,362361
2006-01-03,72100,79300,71500,79300,415095
2006-01-04,83900,91100,76000,77500,777419
2006-01-05,80100,87000,77200,82400,587215
2006-01-06,85000,88000,82100,83100,335161
2006-01-09,82000,82500,74700,75100,282887
2006-01-10,74500,74700,69800,72500,270862
2006-01-11,72000,77500,71000,72300,206663
2006-01-12,71000,73000,69200,69800,183143
2006-01-13,67700,73000,66200,70500,235946
2006-01-16,70100,72900,70100,71400,138777
2006-01-17,71200,72100,69000,69000,119383
2006-01-18,67900,69500,62100,65500,150029
2006-01-19,65000,68000,65000,65500,119825
2006-01-20,65500,66500,59500,59600,130943
2006-01-23,56200,58800,55000,56700,166529
2006-01-24,56700,58500,53000,55700,135479
2006-01-25,56800,64000,55500,57300,481540
2006-01-26,55200,64000,54500,61000,2872417
2006-01-27,63500,67000,61100,66100,784797
2006-01-31,67100,67100,61800,63500,575049
2006-02-01,63000,64800,58600,61500,491921
2006-02-02,62000,62500,59700,62500,377695
2006-02-03,60600,61600,58600,58900,228488
2006-02-06,56500,60200,56500,59800,245654
2006-02-07,60000,61000,58400,58900,184137
2006-02-08,58000,59400,56500,58000,150280
2006-02-09,58700,59000,56500,56900,152254
2006-02-10,57000,57600,55700,56900,132873
2006-02-13,56800,58200,56300,56800,129326
2006-02-14,55700,59000,55600,59000,134013
2006-02-15,60500,60500,57100,58800,164583
2006-02-16,58100,59000,57100,58000,101334
2006-02-17,58900,58900,54900,56200,199675
2006-02-20,55600,56200,54000,54900,261444
2006-02-21,54500,55500,54000,55000,152287
2006-02-22,54500,55400,54000,54500,103385
2006-02-23,54500,56500,54500,56500,173311
2006-02-24,56000,56600,54900,55700,91244
2006-02-27,56400,59000,55700,58700,201815
2006-02-28,58700,60200,57300,59600,171157
2006-03-02,59500,60000,58100,58500,89342
2006-03-03,57500,58100,54700,55400,143381
2006-03-06,55500,56200,54900,56100,56451
2006-03-07,55300,56000,54700,55000,61662
2006-03-08,54000,55600,53700,54200,66505
2006-03-09,54000,55000,54000,55000,61900
2006-03-10,54200,55600,54200,54400,58083
2006-03-13,54800,55500,54700,55100,49990
2006-03-14,55500,58500,55300,57800,235538
2006-03-15,58000,58300,56800,57300,59301
2006-03-16,57300,57900,56000,57600,57140
2006-03-17,56500,57400,56300,56900,62821
2006-03-20,56000,56300,54900,55400,87574
2006-03-21,55200,55600,54500,54600,73705
