Date,Open,High,Low,Close,Volume
2000-01-28,36032,37454,35083,36507,2679310
2000-01-31,35558,39729,35558,39257,3106080
2000-02-01,40015,40156,38023,38972,2236980
2000-02-02,38877,41579,38498,39636,3062490
2000-02-03,40109,41152,39540,40585,1909680
2000-02-07,41152,43049,39635,41248,2233750
2000-02-08,41247,42669,40962,41391,1649650
2000-02-09,42195,44993,41721,44472,3383660
2000-02-10,44471,45656,42006,43049,2117360
2000-02-11,43049,43997,40015,40110,2257810
2000-02-14,38877,40726,38023,38214,2531480
2000-02-15,38877,40109,36316,36318,3150780
2000-02-16,36980,37833,34609,36981,1703040
2000-02-17,36695,38403,36032,38214,1502900
2000-02-18,37454,38877,36886,36886,1287050
2000-02-21,35558,35937,34609,35464,1093450
2000-02-22,34609,36600,34136,34136,2067530
2000-02-23,36411,39256,34799,37929,4508700
2000-02-24,36980,37549,35131,35179,2036820
2000-02-25,34182,36221,33756,35179,1643080
2000-02-28,33850,34609,33092,33662,1286410
2000-02-29,34515,34988,32238,32808,1770830
2000-03-02,32524,34041,31291,33852,1949980
2000-03-03,34041,34041,32238,32335,1380220
2000-03-06,33187,36127,32333,35085,1838580
2000-03-07,33377,35558,33377,34184,1107620
2000-03-08,33566,35700,33471,33994,1415040
2000-03-09,33756,34372,32998,33330,1519750
2000-03-10,33187,34325,32097,32382,1929850
2000-03-13,32238,32618,30485,30533,1442340
2000-03-14,29584,31480,29394,30012,1477970
2000-03-15,29394,30769,28209,28447,1524400
2000-03-16,28920,29584,26834,27309,1689650
2000-03-17,28446,30816,28067,29442,3290500
2000-03-20,29394,29868,28446,28636,1174940
2000-03-21,28636,29109,27497,27830,943090
2000-03-22,28303,29631,27971,29395,1495920
2000-03-23,29109,31101,28588,29395,1784170
2000-03-24,30058,30153,28873,29442,1076770
2000-03-27,29489,32665,29299,32240,2448280
2000-03-28,31765,32144,30627,30818,1452470
2000-03-29,29963,30342,28446,28447,1558530
2000-03-30,27071,27403,25128,26550,2109520
2000-03-31,26929,27356,25128,25128,1366880
2000-04-03,25128,25459,21618,21904,1455770
2000-04-04,22283,22946,21286,21809,2179010
2000-04-06,21524,21618,20480,20766,1587120
2000-04-07,20386,22140,20291,21525,1815330
2000-04-10,20955,24084,20955,22710,3140570
2000-04-11,23230,23610,21808,22189,1579240
2000-04-12,22283,24036,21903,22852,2371420
2000-04-14,22140,24368,21998,23800,2695190
2000-04-17,21951,22567,20244,20244,1870950
2000-04-18,21998,21998,20480,21335,1305550
2000-04-19,21524,21998,20671,20719,884910
2000-04-20,20196,21192,20101,20719,792850
2000-04-21,21097,21239,20623,20956,752000
2000-04-24,20860,20955,19912,19913,791570
2000-04-25,19249,19438,18584,18680,1126710
2000-04-26,19248,19343,16783,16783,1416960
2000-04-27,16118,17399,15787,16594,2565310
2000-04-28,16735,18774,16640,17732,2944710
2000-05-02,17731,19295,17351,18917,1675310
2000-05-03,18584,20244,18157,19913,1880950
2000-05-04,19722,21239,19628,19865,1599590
2000-05-08,20149,20386,19533,19628,906680
2000-05-09,19912,20101,18774,18775,592630
2000-05-10,18205,19248,18157,18206,803340
2000-05-12,18205,18443,17020,17400,2038510
2000-05-15,16878,17210,15787,15930,1109370
2000-05-16,16118,16593,15645,16120,965920
2000-05-17,15834,16261,13701,13702,1710380
2000-05-18,12468,14175,12231,13559,2251050
2000-05-19,13749,14270,13084,13275,1925790
2000-05-22,12800,14081,12800,12943,2071860
2000-05-23,12705,14175,12610,13275,2933450
2000-05-24,13275,15266,13179,15266,4784970
2000-05-25,16118,17541,15503,17542,2802540
2000-05-26,17731,18300,15171,15171,5033940
2000-05-29,14696,17446,14317,17448,4664670
2000-05-30,18016,20054,17257,17732,7262590
2000-05-31,18489,20386,17826,20292,7171290
2000-06-01,19912,20955,19438,19628,4310750
2000-06-02,20860,21998,20244,20766,4851190
2000-06-05,21713,23847,21429,23848,5776300
2000-06-07,23752,26075,22946,23468,7039010
2000-06-08,23468,24084,21097,21999,3878710
2000-06-09,21808,23420,21145,22426,4153680
2000-06-12,22330,23610,21856,22900,2407680
2000-06-13,22899,23847,21524,21525,3795930
2000-06-14,21808,22283,19580,20198,2408150
2000-06-15,20433,20860,18963,18965,2885370
2000-06-16,18489,19485,18300,18395,2889620
2000-06-19,18395,18774,17257,17258,1733340
2000-06-20,18016,19817,17731,19818,3285120
2000-06-21,20671,22567,19912,20198,6979320
2000-06-22,20860,21903,20007,20766,3055690
2000-06-23,20101,21334,20101,21335,1962240
2000-06-26,21713,22093,21050,21762,1380250
2000-06-27,21997,23989,21618,23232,3835920
2000-06-28,23230,24084,22424,22615,3284990
2000-06-29,23230,23325,22283,23042,1992360
2000-06-30,22757,23989,22757,23232,2526710
2000-07-03,23705,23989,23041,23706,1562160
2000-07-04,24653,25791,23515,23706,4820780
2000-07-05,23515,25222,22472,25081,3589920
2000-07-06,24937,28162,24463,26835,5577540
2000-07-07,27498,27924,26597,26929,3075460
2000-07-10,27213,29394,26929,28541,4166560
2000-07-11,28541,29679,26739,26740,4371700
2000-07-12,27024,27213,25364,26171,2236620
2000-07-13,25791,26786,25601,26645,1756890
2000-07-14,26359,26929,25412,25602,1420920
2000-07-18,24653,25222,23515,23895,1633560
2000-07-19,24179,25553,23563,24844,3019770
2000-07-20,24321,24653,23136,23990,2042230
2000-07-21,24653,25648,24084,24749,3740770
2000-07-24,24558,24653,21050,21050,4039830
2000-07-25,19153,20244,18632,19533,11065620
2000-07-26,19769,20244,19201,19249,4284600
2000-07-27,19249,19390,17731,18016,3259160
2000-07-28,17351,19390,17351,18254,4852270
2000-07-31,17731,18822,17731,18586,2287830
2000-08-01,18584,19580,18395,18965,4031840
2000-08-02,18963,19485,18679,19012,1876460
2000-08-03,19438,19438,18489,18586,1327990
2000-08-04,18252,18300,17826,18254,1365350
2000-08-07,17589,17826,17067,17069,896240
2000-08-08,17162,17494,16309,16404,1410550
2000-08-09,16593,18016,16593,18016,1545910
2000-08-10,18110,18727,17636,18680,2419580
2000-08-11,18300,20244,18205,19439,3219680
2000-08-14,21334,21713,20054,20198,3220160
2000-08-16,20196,20575,19674,20482,1736810
2000-08-17,20575,21429,20339,20482,1680650
2000-08-18,20480,21192,20149,20577,1914250
2000-08-21,20386,20955,20196,20861,1080830
2000-08-22,21145,22662,21050,22283,3204390
2000-08-23,22472,22472,20860,20861,1889940
2000-08-24,21050,21618,20671,21240,1690560
2000-08-25,20860,21524,20766,21288,890660
2000-08-28,20955,21808,20955,21525,1049670
2000-08-29,21808,22567,21713,22189,1444850
2000-08-30,22188,22851,22140,22568,1687460
2000-08-31,22472,22472,21145,21430,1589530
2000-09-01,21666,21951,20955,21288,776800
2000-09-04,20955,21903,20955,21430,791780
2000-09-05,21334,21666,20149,21383,1010030
2000-09-06,21050,21572,20860,20861,791070
2000-09-07,20671,20813,20196,20671,1121030
2000-09-08,20575,21429,20528,21240,1106110
2000-09-14,20860,22283,20766,22283,1509290
2000-09-15,22283,23136,21334,21715,2138000
2000-09-18,20433,20766,18489,19818,2219980
2000-09-19,19153,20196,19153,19581,1596880
2000-09-20,19912,20433,19912,20292,1067050
2000-09-21,20007,20528,19769,20292,823780
2000-09-22,19817,20386,18822,18822,698930
2000-09-25,19153,20860,19153,20624,1182420
2000-09-26,20339,20718,20054,20577,663410
2000-09-27,20480,21524,20196,21240,1299830
2000-09-28,21239,21429,20528,21050,818470
2000-09-29,21382,21713,21002,21383,740240
2000-10-02,20671,21050,20480,20529,401610
2000-10-04,20386,21429,20101,21335,803830
2000-10-05,21808,22519,21145,22142,1973970
2000-10-06,21808,22378,21713,22378,955820
2000-10-09,22662,22709,21334,21620,838710
2000-10-10,21903,21998,21145,21667,435360
2000-10-11,21286,21334,20007,20671,823990
2000-10-12,20386,21429,20291,20292,684620
2000-10-13,19153,19438,18489,19249,1025220
2000-10-16,20766,20955,19628,19818,1274000
2000-10-17,19249,20007,18868,18870,611120
2000-10-18,18679,19628,17921,19344,930320
2000-10-19,18584,19628,18584,19012,471510
2000-10-20,19912,20860,19438,19676,1355880
2000-10-23,19912,20101,18774,18775,492170
2000-10-24,18963,19628,18584,19392,724030
2000-10-25,19390,19722,19249,19344,497930
2000-10-26,19058,19201,18774,18965,475710
2000-10-27,18963,19722,18963,18965,623730
2000-10-30,19153,19674,19153,19439,530300
2000-10-31,19343,19533,18774,19533,342920
2000-11-01,20291,20813,19912,20339,882180
2000-11-02,20386,20860,20101,20624,638380
2000-11-03,20480,20813,19864,20150,763520
2000-11-06,20149,20339,19817,20008,449610
2000-11-07,20007,20244,19628,19723,369420
2000-11-08,19628,20101,19628,19913,459250
2000-11-09,19722,20291,19628,20103,362080
2000-11-10,20339,20955,20101,20671,951930
2000-11-13,20386,20386,19628,19723,451240
2000-11-14,19912,20149,19722,19913,581880
2000-11-15,20860,20860,20149,20814,1365770
2000-11-16,20671,20813,20291,20292,372870
2000-11-17,19912,21050,19864,20766,715680
2000-11-20,20386,20813,20244,20482,331690
2000-11-21,20007,20339,19106,19628,728330
2000-11-22,19249,19769,18916,19249,397660
2000-11-23,18774,19249,18727,18775,444190
2000-11-24,18774,19533,18774,19392,377960
2000-11-27,19722,20244,19674,20150,489220
2000-11-28,19438,20007,19438,19581,231300
2000-11-29,19153,19343,18774,18965,348770
2000-11-30,19153,19343,18584,19059,361590
2000-12-01,18774,19343,18584,18965,612920
2000-12-04,19106,19864,19011,19392,555210
2000-12-05,19769,19960,19390,19818,280840
2000-12-06,20480,22757,20480,21809,3384760
2000-12-07,21856,22709,21334,22236,1771840
2000-12-08,22378,22614,21903,22378,754840
2000-12-11,22803,23705,22378,23468,1326580
2000-12-12,23468,24084,23136,23421,951780
2000-12-13,22757,23705,22757,23468,903150
2000-12-14,22803,23895,22472,23895,833820
2000-12-15,23800,23800,23041,23327,536770
2000-12-18,22803,23610,22803,23374,371530
2000-12-19,23515,24274,23468,23659,762950
2000-12-20,23041,23705,22614,23089,555300
2000-12-21,22757,23230,22472,23089,511720
2000-12-22,23610,23657,22472,22521,324300
2000-12-26,22946,23089,21998,21999,412680
2001-01-02,22472,25222,22378,25223,995290
2001-01-03,24558,25980,23989,25033,996000
2001-01-04,28778,28778,27118,28779,2025310
2001-01-05,28446,32476,28257,31291,3676220
2001-01-08,29868,31527,29868,30912,1223730
2001-01-09,30248,30248,28351,29869,2541570
2001-01-10,29394,30769,27592,27594,1523460
2001-01-11,28446,30816,27687,30201,3299430
2001-01-12,30816,31575,29299,29300,3995050
2001-01-15,29868,30248,28588,29206,1647020
2001-01-16,29299,32950,28636,31386,3384720
2001-01-17,31243,32049,29015,30058,1989850
2001-01-18,30532,33092,30153,31956,3450360
2001-01-19,32998,33092,31954,32714,1634920
2001-01-22,32713,33661,32144,33188,1036750
2001-01-26,33377,33566,30816,30818,2099210
2001-01-29,31291,31480,29679,30628,1007410
2001-01-30,30911,31765,30342,30344,1242590
2001-01-31,30532,33044,30532,33046,3729900
2001-02-01,32097,33898,31813,32050,3065690
2001-02-02,32238,32903,31575,32240,864870
2001-02-05,31101,31575,29963,30249,709850
2001-02-06,29489,31101,29299,30818,1057830
2001-02-07,30437,30721,29868,29917,780390
2001-02-08,30153,31148,30153,30818,933720
2001-02-09,30721,33044,30342,32240,1439190
2001-02-12,32238,33566,31859,32714,1024950
2001-02-13,33187,33993,32855,33283,1245870
2001-02-14,33519,35558,33044,34942,1870050
2001-02-15,34277,35178,33946,34658,1148680
2001-02-16,34988,35794,34136,34136,685940
2001-02-19,33661,34136,32998,33757,501490
2001-02-20,33756,37644,33756,35558,1915210
2001-02-21,35083,35558,34136,34231,1021620
2001-02-22,34041,34041,32333,33283,1215800
2001-02-23,32713,34041,32713,33283,480080
2001-02-26,33377,34752,33377,34231,392900
2001-02-27,35083,35368,33614,33757,505880
2001-02-28,33187,34136,32998,33757,418890
2001-03-02,33092,33471,31765,32240,1511620
2001-03-05,30911,32002,30485,31861,803220
2001-03-06,31765,32476,31622,32240,774520
2001-03-07,32808,33471,32524,32998,642290
2001-03-08,33377,33471,32760,33473,371360
2001-03-09,32997,33282,32808,33188,307310
2001-03-12,32238,32476,31007,31197,444190
2001-03-13,29015,29394,26550,27024,1535600
2001-03-14,28351,30342,28067,29774,1632110
2001-03-15,27024,29299,27024,29111,1207080
2001-03-16,29394,30295,29109,29206,1074800
2001-03-19,29394,29774,28493,28921,676770
2001-03-20,29584,29821,28257,28684,578530
2001-03-21,27498,28446,27498,28162,445870
2001-03-22,27971,28682,27830,28162,659090
2001-03-23,28162,28541,27971,28257,328720
2001-03-26,28920,29774,28588,29538,417090
