Date,Open,High,Low,Close,Volume
2021-12-30,467000,469000,456500,460000,113558
2022-01-03,463000,468500,458000,460000,96581
2022-01-04,459500,459500,442000,444000,232605
2022-01-05,442000,442500,413000,417000,454908
2022-01-06,410000,413000,400000,402000,372826
2022-01-07,402500,405500,393500,394500,339356
2022-01-10,393000,393500,373000,381500,438835
2022-01-11,380500,384500,364000,365000,391852
2022-01-12,369500,374000,364500,367500,368318
2022-01-13,364000,365000,345000,346500,570811
2022-01-14,338500,354000,333500,343500,462339
2022-01-17,351500,354500,338000,341000,298123
2022-01-18,339000,343000,334000,340500,251142
2022-01-19,341000,342500,323000,324500,415623
2022-01-20,323500,328500,316500,325000,297605
2022-01-21,320000,322500,306000,310000,706631
2022-01-24,308500,313500,299000,302000,442843
2022-01-25,303500,308000,290000,291000,465805
2022-01-26,294000,294500,276500,276500,808612
2022-01-27,279000,282500,264000,264000,717325
2022-01-28,267500,284500,257500,274500,783003
2022-02-03,279000,286500,275500,275500,364038
2022-02-04,274500,297000,274500,288500,485012
2022-02-07,290000,306000,283500,305000,534422
2022-02-08,304500,314500,296500,299500,420619
2022-02-09,304000,306500,295000,297000,185777
2022-02-10,300000,306500,292500,297000,312108
2022-02-11,268500,270000,255500,259000,1242240
2022-02-14,252000,268500,248500,267500,548562
2022-02-15,268000,289500,266000,281000,689509
2022-02-16,286000,288000,277000,277500,296947
2022-02-17,277500,280500,269000,273000,319221
2022-02-18,266500,276500,265000,274000,215275
2022-02-21,269500,279500,266500,273500,179499
2022-02-22,268500,280000,268000,273500,238940
2022-02-23,277500,296500,275500,286000,475696
2022-02-24,282000,287000,280000,285500,245896
2022-02-25,290000,293000,283000,284000,210160
2022-02-28,283000,295000,279000,295000,197803
2022-03-02,299000,306500,295000,298000,264742
2022-03-03,300000,302500,298000,298500,121273
2022-03-04,296500,297500,282000,282500,238713
2022-03-07,277500,278000,268500,271000,176042
2022-03-08,266500,281000,266500,273500,159115
2022-03-10,281500,295000,280000,295000,292969
2022-03-11,292000,293000,284500,285000,231836
2022-03-14,285000,292000,281000,281000,169976
2022-03-15,278500,282500,274000,277500,114644
2022-03-16,280500,286500,278500,281500,140323
2022-03-17,287500,292000,284000,284000,198288
2022-03-18,285000,291000,277500,286000,288541
2022-03-21,287500,291000,276000,276000,283001
2022-03-22,276000,281000,275500,279000,89046
2022-03-23,282000,286500,279500,283000,179359
2022-03-24,280000,283500,276500,280500,140646
2022-03-25,281000,282000,278000,278500,128623
2022-03-28,278500,279000,270500,271500,192699
2022-03-29,273000,275500,271000,273000,173269
2022-03-30,274500,276500,271000,272500,147316
2022-03-31,272500,281500,272000,275500,187476
2022-04-01,276500,278000,272000,278000,125727
2022-04-04,275500,299500,275500,298500,507532
2022-04-05,300500,301000,290500,293500,241079
2022-04-06,289000,296500,286000,287000,172907
2022-04-07,283000,288500,283000,284000,134315
2022-04-08,285500,287500,272000,280000,243269
2022-04-11,276500,282500,275000,281500,96798
2022-04-12,277000,279500,267000,267000,759269
2022-04-13,266500,269000,263000,267500,144215
2022-04-14,268500,271000,264000,266500,125573
2022-04-15,265000,266500,263500,264500,113682
2022-04-18,263500,264500,260500,261000,94033
2022-04-19,261500,264500,260500,261500,56824
2022-04-20,262000,263000,258000,258000,127262
2022-04-21,259000,260500,257000,258000,64119
2022-04-22,257000,258000,247000,250000,286187
2022-04-25,246500,249000,242000,242500,162783
2022-04-26,244500,253000,244000,248500,170318
2022-04-27,240000,242500,236000,238500,234396
2022-04-28,239500,242500,233000,240500,174851
2022-04-29,241000,253000,239000,252000,184533
2022-05-02,248000,252500,246000,251500,106610
2022-05-03,251000,259500,250500,256500,119305
2022-05-04,256500,261500,254000,258000,143846
2022-05-06,253500,258500,250000,256500,108855
2022-05-09,252000,256500,246500,251500,145967
2022-05-10,246000,247000,241500,245000,123155
2022-05-11,242500,259500,239500,257000,214893
2022-05-12,253500,265000,242000,252000,673602
2022-05-13,259000,263500,246500,253500,576165
2022-05-16,256000,258500,239500,241000,304344
2022-05-17,241500,245500,239500,240000,179189
2022-05-18,242000,248000,240500,247500,184124
2022-05-19,240500,241000,236000,237000,238251
2022-05-20,237500,256000,237500,256000,324746
2022-05-23,255000,259000,253000,256500,118636
2022-05-24,252500,258000,247500,247500,154928
2022-05-25,251500,258500,249000,257000,176409
2022-05-26,256000,264500,254500,255000,204563
2022-05-27,261000,261000,249000,249000,896244
2022-05-30,254000,260500,252500,259000,173129
2022-05-31,258500,262000,256500,259500,393292
2022-06-02,256500,261000,249500,250000,201849
2022-06-03,253500,254500,250500,253000,126332
2022-06-07,256500,269500,256500,268500,418115
2022-06-08,269000,276000,266500,271500,280507
2022-06-09,270000,280000,269000,276500,469081
2022-06-10,273500,278500,268000,274000,194126
2022-06-13,267500,270500,257500,260000,223411
2022-06-14,256000,263500,252500,261000,163420
2022-06-15,259500,263000,249000,259500,228326
2022-06-16,263500,264000,251500,252000,146794
2022-06-17,247000,265000,246500,262500,251010
2022-06-20,264500,266000,256500,259000,145360
2022-06-21,264000,272000,259500,268500,172166
2022-06-22,271000,271000,259500,259500,124190
2022-06-23,261500,269500,258500,264500,197328
2022-06-24,265000,277000,265000,273500,217031
2022-06-27,277000,278500,265000,266000,187080
2022-06-28,266500,267000,257000,260000,180877
2022-06-29,253500,256500,238000,238000,400738
2022-06-30,236000,238500,219000,219000,434760
2022-07-01,222000,226500,212500,215500,255073
2022-07-04,219000,223500,216500,222500,172017
2022-07-05,223000,231000,222500,226000,122203
2022-07-06,226500,239500,223500,234000,238897
2022-07-07,238000,242000,234000,240500,118420
2022-07-08,241000,243000,236500,237000,99317
2022-07-11,237500,241000,234500,239500,69697
2022-07-12,239000,241500,235500,237000,85038
2022-07-13,239000,243500,236500,242500,83448
2022-07-14,240000,250500,239500,245000,149455
2022-07-15,246000,247000,235000,235500,136215
2022-07-18,236500,239000,234500,238500,83031
2022-07-19,237500,239500,233500,235000,152856
2022-07-20,239000,254000,239000,247500,344415
2022-07-21,246000,260000,245500,258500,288427
2022-07-22,259000,263000,257000,258000,151172
2022-07-25,256500,261000,255000,256000,85011
2022-07-26,257500,262500,254500,257000,112346
2022-07-27,256000,256500,240500,241000,295526
2022-07-28,244500,246000,240000,244500,172505
2022-07-29,224000,236000,221500,233500,576222
2022-08-01,234000,243500,231500,243000,207639
2022-08-02,241500,244000,239000,242000,95530
2022-08-03,242500,254500,242500,252000,190062
2022-08-04,257000,266500,256500,263000,249022
2022-08-05,264000,264500,257000,257500,85301
2022-08-08,255500,261500,254000,260000,75875
2022-08-09,260000,265500,258000,263000,104256
2022-08-10,261500,265000,252000,253000,145254
2022-08-11,257000,263500,256500,263500,144836
2022-08-12,264500,282000,264000,266000,538784
2022-08-16,269000,270500,265000,269000,130901
2022-08-17,269500,269500,263000,265500,105990
2022-08-18,264500,264500,257000,258000,120633
2022-08-19,259500,261000,253000,255000,86089
2022-08-22,253500,257000,248000,252500,91113
2022-08-23,251000,253500,243500,243500,142221
2022-08-24,245500,250000,240500,241000,130452
2022-08-25,242000,247000,241500,244500,74548
2022-08-26,246000,247000,242000,244500,64253
2022-08-29,233500,237500,231000,232000,132493
2022-08-30,233500,241500,233500,239000,98314
2022-08-31,236500,248000,234500,246500,134169
2022-09-01,242500,243000,234000,236000,159233
2022-09-02,237000,238500,231500,232000,98119
2022-09-05,231000,239000,231000,236000,70630
2022-09-06,237500,241000,233500,235500,67837
2022-09-07,233000,234500,230000,233500,68457
2022-09-08,236000,241000,235000,237000,145257
2022-09-13,242000,247000,241000,246500,122486
2022-09-14,236500,241500,235000,238500,98958
2022-09-15,240500,240500,235500,239000,66639
2022-09-16,235500,240500,234000,239000,131065
2022-09-19,242000,242000,226000,226000,226781
2022-09-20,230000,230500,223000,225500,103739
2022-09-21,224000,225500,219000,222000,153173
2022-09-22,218000,218500,214000,216500,137971
2022-09-23,217000,218000,205000,205500,187309
2022-09-26,202500,210500,201500,209000,195696
2022-09-27,210500,217500,206500,213000,142792
2022-09-28,209000,211500,202000,205000,153971
2022-09-29,208500,212500,203500,205500,123527
2022-09-30,205000,212000,204000,210000,133112
2022-10-04,212000,215000,210000,214000,99103
2022-10-05,216000,216000,200500,202000,186576
2022-10-06,203000,204500,200500,201000,108788
2022-10-07,198000,200500,191000,191500,311611
2022-10-11,187500,188000,176500,178000,335329
2022-10-12,178000,181500,176000,180500,166675
2022-10-13,179000,180000,169500,176000,313453
2022-10-14,180500,184500,178000,182000,188552
2022-10-17,177000,180500,171000,179500,180445
2022-10-18,185000,190000,184500,189000,161828
2022-10-19,190000,192000,183000,183000,108434
2022-10-20,180500,182000,171500,176000,312290
2022-10-21,173000,181000,172500,179000,119274
2022-10-24,182500,185500,176500,178500,188341
2022-10-25,179000,179500,172500,174500,133865
2022-10-26,175000,177500,172000,172500,130495
2022-10-27,174500,177500,173500,175000,148828
2022-10-28,173000,180500,173000,175000,134146
2022-10-31,179000,180000,176000,177500,75491
2022-11-01,177500,179500,175500,178000,93727
2022-11-02,177500,194500,177000,194000,361756
2022-11-03,187500,188500,182500,183000,199494
2022-11-04,183000,189000,182000,188500,131621
2022-11-07,190000,198000,188500,194000,185661
2022-11-08,197000,198500,193000,194500,128521
2022-11-09,197500,198000,193500,195000,152071
2022-11-10,191000,195000,190500,192000,183547
2022-11-11,202000,227000,201500,227000,738955
2022-11-14,225000,230000,220000,224500,278254
2022-11-15,224000,226500,217500,220000,170839
2022-11-16,222000,224000,218500,221000,129198
2022-11-17,220500,233000,220500,229500,307008
2022-11-18,230500,235500,224500,230000,248585
2022-11-21,234500,244500,233500,236500,332966
2022-11-22,235500,235500,222500,224000,195303
2022-11-23,226000,229500,221000,223000,137849
2022-11-24,226000,232000,225500,228000,145171
2022-11-25,227500,229500,218000,219500,150357
2022-11-28,219500,221500,215000,217000,120671
2022-11-29,218500,221000,216000,219000,81870
2022-11-30,218500,227000,214000,227000,707331
2022-12-01,235500,237500,218000,220000,371947
2022-12-02,220500,220500,200000,201500,585176
2022-12-05,200000,200500,183000,184500,755748
2022-12-06,184000,187000,178500,180000,375157
2022-12-07,179000,180000,176000,178500,463452
2022-12-08,178500,181500,177500,179500,325436
2022-12-09,180000,181500,179000,180500,252103
2022-12-12,180000,183500,179500,181500,179024
2022-12-13,183500,183500,179000,181500,211430
2022-12-14,183000,187000,182500,185500,261095
2022-12-15,183000,184000,179000,179500,206973
2022-12-16,177000,183500,176000,183500,252456
2022-12-19,181000,184000,181000,182500,112809
2022-12-20,182000,183000,177500,179000,125925
2022-12-21,180000,181500,175000,176000,131665
2022-12-22,177500,179500,175500,179000,158087
2022-12-23,177000,177500,172000,172500,151609
2022-12-26,172500,174000,171500,172000,97058
2022-12-27,172500,174000,170500,172500,146822
2022-12-28,170500,171500,164500,169500,209726
