Date,Open,High,Low,Close,Volume
2010-05-12,119500,121000,112500,114000,9504811
2010-05-13,115500,117000,115000,115500,2184611
2010-05-14,115000,116500,112000,114000,1769839
2010-05-17,112000,113500,107500,107500,2444115
2010-05-18,108500,110000,107000,110000,996647
2010-05-19,109000,110000,107500,109500,852205
2010-05-20,109500,111000,107500,107500,740106
2010-05-24,105000,106000,101500,102500,1219811
2010-05-25,100500,101000,95500,98000,1596770
2010-05-26,98000,110000,97800,110000,3451763
2010-05-27,107000,110000,106000,109000,1536027
2010-05-28,111000,111000,105500,108000,692635
2010-05-31,107500,110000,106000,109000,477955
2010-06-01,108500,109000,106000,106000,302368
2010-06-03,105500,107000,103000,104000,905501
2010-06-04,104500,105500,103000,103000,418999
2010-06-07,100500,102500,99800,102000,576382
2010-06-08,102000,104500,102000,102500,389336
2010-06-09,103000,104000,102000,102000,243579
2010-06-10,103000,104000,102000,102500,267676
2010-06-11,104000,105000,102500,103000,457232
2010-06-14,103500,104000,100500,101000,770796
2010-06-15,101500,101500,100000,100500,475216
2010-06-16,101500,101500,99900,100500,588117
2010-06-17,100500,103500,100000,100500,663445
2010-06-18,101000,102000,100000,101500,489330
2010-06-21,101500,102000,100000,100500,754193
2010-06-22,100500,101500,100000,100500,458046
2010-06-23,100500,101000,100000,100500,398825
2010-06-24,100500,101000,100000,100500,332013
2010-06-25,100500,107000,99900,106500,1830190
2010-06-28,107000,107000,105000,106500,597171
2010-06-29,106000,107000,102500,105000,713802
2010-06-30,103000,103500,102000,103500,713599
2010-07-01,102500,104500,101500,104000,477422
2010-07-02,104000,104500,102500,102500,274805
2010-07-05,102500,104000,102500,104000,204626
2010-07-06,103500,104000,102500,103000,257913
2010-07-07,103500,105500,103000,105000,584680
2010-07-08,106500,106500,104500,105000,324837
2010-07-09,105500,108500,104500,106500,1174862
2010-07-12,107500,109000,106000,108500,642435
2010-07-13,109000,109500,107000,107500,348934
2010-07-14,108000,108500,106500,107000,492225
2010-07-15,107000,107000,105000,105500,424219
2010-07-16,105500,109000,105000,107500,880590
2010-07-19,107000,107500,105500,106000,265796
2010-07-20,106000,107000,105500,107000,228649
2010-07-21,108000,108000,106000,106500,217135
2010-07-22,106500,106500,104500,105000,348021
2010-07-23,106000,106500,104500,105500,389252
2010-07-26,105500,107000,105000,106000,297556
2010-07-27,106500,107000,106000,106000,294818
2010-07-28,106500,108000,105500,107500,534868
2010-07-29,108500,111000,108000,109000,964757
2010-07-30,109000,111000,108000,110000,614795
2010-08-02,111500,115000,111000,114000,1376628
2010-08-03,115000,115000,113500,114500,692869
2010-08-04,114000,114500,111500,112500,713731
2010-08-05,113000,114000,111500,112500,356455
2010-08-06,113500,115000,112000,113000,493267
2010-08-09,114500,114500,113000,114500,418679
2010-08-10,113500,114500,112000,112500,396707
2010-08-11,112500,113500,110500,111500,450044
2010-08-12,110000,111000,109000,109500,594133
2010-08-13,110000,112500,109000,112500,410388
