Date,Open,High,Low,Close,Volume
2015-10-02,68400,76100,62000,72800,2259313
2015-10-05,74300,77000,72800,76600,408457
2015-10-06,77700,78300,74600,76000,205539
2015-10-07,75000,77600,75000,77000,162093
2015-10-08,77000,77800,76100,77000,115875
2015-10-12,77800,77800,75900,76300,143593
2015-10-13,76000,76900,75500,75900,101099
2015-10-14,76300,85700,76300,83400,625458
2015-10-15,84000,89500,83900,88300,346696
2015-10-16,89900,90000,86300,87400,174679
2015-10-19,87000,87900,84100,87900,237955
2015-10-20,89600,91800,84600,86900,271396
2015-10-21,86900,88700,84800,86400,135929
2015-10-22,86400,86700,82600,82600,114030
2015-10-23,83200,86300,81100,83500,140168
2015-10-26,84000,84600,80000,82400,124196
2015-10-27,82200,88500,80500,88000,215791
2015-10-28,88600,95500,87100,95000,376123
2015-10-29,96000,96300,92400,96000,168972
2015-10-30,95000,95900,92500,93600,143719
2015-11-02,94000,95100,91700,94700,188402
2015-11-03,95000,96300,93600,95000,123260
2015-11-04,94800,94800,90800,93500,139493
2015-11-05,92500,93100,90100,92200,113578
2015-11-06,91000,95300,89700,94900,140823
2015-11-09,94600,94900,90400,90900,94797
2015-11-10,89800,89800,83500,83500,190556
2015-11-11,84300,92000,83600,90000,128165
2015-11-12,90000,93400,89500,92800,71579
2015-11-13,90600,94300,90600,93200,50659
2015-11-16,93000,110000,91200,104500,415147
2015-11-17,108500,110500,102500,105000,240557
2015-11-18,105000,108500,103000,108500,145334
2015-11-19,110500,111500,107500,108500,84925
2015-11-20,110000,117000,108500,111000,114063
2015-11-23,112500,114500,108500,109500,98674
2015-11-24,111500,113000,107500,108500,97101
2015-11-25,109500,115500,107500,115000,159190
2015-11-26,116000,123000,114500,120500,238968
2015-11-27,121000,121000,114500,117500,139659
2015-11-30,116500,118000,112000,117500,116319
2015-12-01,117500,119000,115000,116500,61185
2015-12-02,115500,117000,112000,112000,118221
2015-12-03,112500,114000,108000,108000,99274
2015-12-04,108500,112500,106000,109500,109541
2015-12-07,111500,112000,104500,106500,101274
2015-12-08,107000,107000,99800,100000,210233
2015-12-09,99000,103000,96600,100500,139023
