Date,Open,High,Low,Close,Volume
2004-08-05,23000,26000,22650,24850,4976078
2004-08-06,24400,24450,23400,23400,1755333
2004-08-09,23050,23200,22500,22700,912521
2004-08-10,22950,23650,22700,23150,7311341
2004-08-11,23300,23600,23050,23050,5216495
2004-08-12,22900,23100,22450,22900,826816
2004-08-13,22800,22950,22450,22950,389122
2004-08-16,23000,23000,22000,22000,733086
2004-08-17,22250,22450,21900,22000,865157
2004-08-18,22000,22250,21250,21350,911902
2004-08-19,21700,22150,21450,22000,798999
2004-08-20,22100,22600,22100,22200,629618
2004-08-23,22400,22450,21950,22000,306401
2004-08-24,22000,22100,21500,21700,547693
2004-08-25,21800,21850,21250,21600,675716
2004-08-26,21750,22150,21700,21700,527637
2004-08-27,21900,22300,21850,22300,618423
2004-08-30,22450,22450,21700,21750,530432
2004-08-31,21700,21950,21500,21600,356214
2004-09-01,21800,22050,21450,21950,1111850
2004-09-02,22200,22300,21900,22150,1050156
2004-09-03,22150,22200,21400,21500,869852
2004-09-06,21450,21500,20850,21000,1470721
2004-09-07,21000,21800,21000,21550,1229102
2004-09-08,21500,22300,21500,22200,1220279
2004-09-09,22200,22300,21850,22100,401297
2004-09-10,22300,22600,22050,22300,972124
2004-09-13,22450,22950,22150,22600,1371146
2004-09-14,22800,22850,22000,22250,513789
2004-09-15,22100,22200,21400,21700,810725
2004-09-16,21500,21900,21500,21800,588823
2004-09-17,21800,22450,21700,22300,1018627
2004-09-20,22650,23400,22500,22900,3200470
2004-09-21,23100,23850,22800,23500,7309229
2004-09-22,23900,24300,23150,23150,1730878
2004-09-23,23150,23400,22500,23250,979967
2004-09-24,23050,23700,22900,23700,618470
2004-09-30,23550,24650,23550,24650,806643
2004-10-01,24450,24750,24100,24300,783232
2004-10-04,24400,24850,24050,24500,1325883
2004-10-05,24400,24450,23650,23850,1175654
2004-10-06,23850,24000,23050,23300,1267288
2004-10-07,23550,24550,23250,24200,2601288
2004-10-08,24350,25150,24200,24400,2198698
2004-10-11,24500,25100,24000,25050,1129777
2004-10-12,25050,25450,24350,24850,1302886
2004-10-13,25400,26100,24550,24800,1563361
2004-10-14,24500,24950,24150,24950,483791
2004-10-15,24600,24900,24250,24550,432596
2004-10-18,24350,24750,24150,24300,361189
2004-10-19,24500,24850,24400,24550,807152
2004-10-20,24450,24550,23600,23850,658495
2004-10-21,23950,23950,23200,23350,607703
2004-10-22,23400,23750,23250,23350,546248
2004-10-25,23200,23350,22800,22900,781017
2004-10-26,23400,23650,23050,23200,650454
2004-10-27,23450,23650,22850,23000,1354704
2004-10-28,23300,23600,23150,23600,408994
2004-10-29,23450,23950,23250,23800,480867
2004-11-01,23700,23850,23400,23450,209176
2004-11-02,23700,23700,22850,23150,677210
2004-11-03,23150,23700,23150,23700,629776
2004-11-04,23750,24100,23600,23800,1595330
2004-11-05,24000,24000,23150,23250,547076
2004-11-08,23300,23350,22550,22550,471260
2004-11-09,22400,22800,22250,22250,509793
2004-11-10,22250,23050,22250,22750,530323
2004-11-11,22750,23300,22750,23200,389233
2004-11-12,23050,23300,22950,23000,538364
2004-11-15,23100,23100,22450,22750,531836
