Label,CenterX,CenterY,Width,Height,Range,Pattern,Priority
1,0.741384,0.902854,0.017825,0.103382,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0,0.559418,0.638218,0.040107,0.106754,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,2
1,0.949346,0.742162,0.010398,0.067423,2022-12-15/2022-12-16/2022-12-19,,2
0,0.941919,0.759018,0.017825,0.123609,2022-12-12/2022-12-13/2022-12-14/2022-12-15/2022-12-16,,3
1,0.175059,0.464041,0.014112,0.174177,2022-02-11/2022-02-14/2022-02-15/2022-02-16,,4
0,0.254902,0.256152,0.010398,0.2416,2022-03-17/2022-03-18/2022-03-21,BearishEngulfing,4
1,0.5,0.803967,0.010398,0.107877,2022-06-22/2022-06-23/2022-06-24,,4
0,0.615122,0.677548,0.025253,0.084279,2022-08-02/2022-08-03/2022-08-04/2022-08-05/2022-08-08/2022-08-09/2022-08-10,,4
1,0.889929,0.846106,0.03268,0.0663,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0,0.863934,0.8079,0.017825,0.055062,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,4
1,0.082219,0.219631,0.014112,0.089898,2022-01-04/2022-01-05/2022-01-06/2022-01-07,,5
0,0.163919,0.402236,0.014112,0.174177,2022-02-08/2022-02-09/2022-02-10/2022-02-11,,5
1,0.774807,0.896112,0.017825,0.042701,2022-10-07/2022-10-11/2022-10-12/2022-10-13/2022-10-14,,5
0,0.8138,0.842735,0.028966,0.05731,2022-10-21/2022-10-24/2022-10-25/2022-10-26/2022-10-27/2022-10-28/2022-10-31/2022-11-01,,5
