Label,CenterX,CenterY,Width,Height,Range,Pattern,Priority
1,0.782234,0.904998,0.017825,0.099095,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0,0.067365,0.161245,0.014112,0.231581,2021-12-13/2021-12-14/2021-12-15/2021-12-16,,1
1,0.18063,0.55978,0.010398,0.102327,2022-01-26/2022-01-27/2022-01-28,,2
0,0.503714,0.605558,0.010398,0.08617,2022-06-08/2022-06-09/2022-06-10,,2
1,0.95306,0.827984,0.002971,0.02262,2022-12-02,,2
0,0.295752,0.285114,0.010398,0.231581,2022-03-17/2022-03-18/2022-03-21,,3
1,0.54085,0.810211,0.010398,0.103404,2022-06-22/2022-06-23/2022-06-24,,3
0,0.7321,0.792977,0.014112,0.062473,2022-09-02/2022-09-05/2022-09-06/2022-09-07,,3
1,0.150921,0.373977,0.010398,0.140026,2022-01-14/2022-01-17/2022-01-18,,4
0,0.202911,0.427833,0.017825,0.17234,2022-02-07/2022-02-08/2022-02-09/2022-02-10/2022-02-11,BearishEngulfing,4
1,0.702392,0.719733,0.036393,0.088324,2022-08-18/2022-08-19/2022-08-22/2022-08-23/2022-08-24/2022-08-25/2022-08-26/2022-08-29/2022-08-30/2022-08-31,,4
0,0.600267,0.651336,0.040107,0.102327,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,4
1,0.845365,0.853296,0.010398,0.043085,2022-10-21/2022-10-24/2022-10-25,,4
0,0.904783,0.813981,0.017825,0.052779,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,4
1,0.930778,0.850603,0.03268,0.06355,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0,0.117499,0.233951,0.010398,0.053856,2022-01-03/2022-01-04/2022-01-05,,5
1,0.215909,0.484382,0.014112,0.166954,2022-02-11/2022-02-14/2022-02-15/2022-02-16,,5
0,0.262329,0.457454,0.040107,0.113098,2022-02-24/2022-02-25/2022-02-28/2022-03-02/2022-03-03/2022-03-04/2022-03-07/2022-03-08/2022-03-10/2022-03-11/2022-03-14,BullishHarami,5
1,0.351456,0.417062,0.03268,0.096941,2022-04-04/2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11/2022-04-12/2022-04-13/2022-04-14,,5
0,0.329174,0.336277,0.010398,0.08617,2022-03-30/2022-03-31/2022-04-01,,5
1,0.425728,0.549009,0.010398,0.123869,2022-05-06/2022-05-09/2022-05-10,,5
0,0.451723,0.551702,0.03268,0.096941,2022-05-12/2022-05-13/2022-05-16/2022-05-17/2022-05-18/2022-05-19/2022-05-20/2022-05-23/2022-05-24,,5
1,0.563131,0.792439,0.017825,0.067859,2022-06-29/2022-06-30/2022-07-01/2022-07-04/2022-07-05,,5
0,0.590983,0.654028,0.021539,0.096941,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15,,5
1,0.641117,0.691728,0.017825,0.075399,2022-07-28/2022-07-29/2022-08-01/2022-08-02/2022-08-03,,5
0,0.655971,0.689035,0.025253,0.080784,2022-08-02/2022-08-03/2022-08-04/2022-08-05/2022-08-08/2022-08-09/2022-08-10,,5
1,0.756239,0.823675,0.010398,0.061396,2022-09-15/2022-09-16/2022-09-19,,5
0,0.854649,0.847372,0.028966,0.054933,2022-10-21/2022-10-24/2022-10-25/2022-10-26/2022-10-27/2022-10-28/2022-10-31/2022-11-01,,5
1,0.915924,0.827984,0.017825,0.080784,2022-11-16/2022-11-17/2022-11-18/2022-11-21/2022-11-22,,5
