Label,CenterX,CenterY,Width,Height,Range,Pattern,Priority
1,0.756239,0.902854,0.017825,0.103382,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0,0.574272,0.638218,0.040107,0.106754,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,2
1,0.514854,0.803967,0.010398,0.107877,2022-06-22/2022-06-23/2022-06-24,,3
0,0.878788,0.8079,0.017825,0.055062,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,3
1,0.370024,0.430329,0.025253,0.095516,2022-04-21/2022-04-22/2022-04-25/2022-04-26/2022-04-27/2022-04-28/2022-04-29,,4
0,0.269756,0.256152,0.010398,0.2416,2022-03-17/2022-03-18/2022-03-21,,4
1,0.707962,0.778121,0.025253,0.080908,2022-09-01/2022-09-02/2022-09-05/2022-09-06/2022-09-07/2022-09-08/2022-09-13,,4
0,0.629976,0.677548,0.025252,0.084279,2022-08-02/2022-08-03/2022-08-04/2022-08-05/2022-08-08/2022-08-09/2022-08-10,,4
1,0.904783,0.846106,0.03268,0.0663,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0,0.176916,0.405046,0.017825,0.179795,2022-02-07/2022-02-08/2022-02-09/2022-02-10/2022-02-11,BearishEngulfing,5
1,0.405303,0.531464,0.021539,0.129228,2022-05-06/2022-05-09/2022-05-10/2022-05-11/2022-05-12/2022-05-13,,5
0,0.425728,0.534274,0.03268,0.101135,2022-05-12/2022-05-13/2022-05-16/2022-05-17/2022-05-18/2022-05-19/2022-05-20/2022-05-23/2022-05-24,,5
1,0.789661,0.896112,0.017825,0.042701,2022-10-07/2022-10-11/2022-10-12/2022-10-13/2022-10-14,,5
0,0.828654,0.842735,0.028966,0.05731,2022-10-21/2022-10-24/2022-10-25/2022-10-26/2022-10-27/2022-10-28/2022-10-31/2022-11-01,,5
